handle,field,default content (en),translated content (ar)
pet-sticky-note,body_html,"<p>Moshi Moshi Pet Sticky Note for quick reminders, page markers and desk notes that peel off cleanly.</p><p>Handy for students and office desks alike — stick them on books, screens and planners. From Moshi Moshi.</p>",<p>ملاحظات لاصقة Moshi Moshi للملاحظات السريعة وتعليم الصفحات، تُنزع بسهولة دون أثر.</p><p>عملية للطلاب وعلى مكاتب العمل — على الكتب والشاشات والمخططات.</p>
kw-trio-stapler,title,KW-triO Stapler,دباسة من KW-triO
kw-trio-stapler,body_html,<p>KW-triO Stapler for fastening pages quickly.</p><p>A compact essential for home offices and school projects. From KW-triO.</p>,<p>دباسة من KW-triO لتثبيت الأوراق بسرعة.</p><p>أداة أساسية مدمجة للمكتب المنزلي والمشاريع المدرسية.</p>
begin-elephant-2,title,Elephant Begin Stationery Set — Style 2,طقم هدية تصميم ٢ من Elephant — Begin Stationery Set
begin-elephant-2,body_html,"<p>Elephant Begin Stationery Set — a ready-to-give set, no assembly needed.</p><p>Take the guesswork out of gifting for birthdays, school rewards and small thank-yous. From Elephant.</p>",<p>طقم هدية تصميم ٢ من Elephant — طقم جاهز للإهداء دون أي تجهيز.</p><p>يريحك من حيرة الهدايا لأعياد الميلاد ومكافآت المدرسة.</p>
stick-up-glue-stick,title,Stick Up Glue Stick,صمغ من Stick Up
stick-up-glue-stick,body_html,"<p>Stick Up Glue Stick that sticks paper and card cleanly.</p><p>A school-bag staple for projects, collages and quick fixes. From Stick Up.</p>",<p>صمغ من Stick Up يلصق الورق والكرتون بنظافة.</p><p>أساسي في حقيبة المدرسة للمشاريع والأشغال اليدوية.</p>
campus-word-cards,title,Campus Word Cards,بطاقات تعليمية Campus
campus-word-cards,body_html,<p>Campus Word Cards — picture cards that make early learning feel like play.</p><p>A simple screen-free way for parents and teachers to build vocabulary with young children. From Campus.</p>,<p>بطاقات تعليمية Campus — بطاقات مصورة تجعل التعلم المبكر أقرب إلى اللعب.</p><p>وسيلة بسيطة بعيدًا عن الشاشات لبناء مفردات الصغار في البيت أو الروضة.</p>
everyo-gel-pen,title,Deli Everyo Gel Pen — Style 1,قلم جل تصميم ١ من Deli
everyo-gel-pen,body_html,"<p>Deli Everyo Gel Pen — smooth-flowing ink in a comfortable grip.</p><p>A favourite for note-taking, journaling and adding colour to study notes. From Deli.</p>",<p>قلم جل تصميم ١ من Deli — حبر انسيابي وقبضة مريحة.</p><p>مفضل لتدوين الملاحظات وتلوين الملخصات الدراسية.</p>
elephant-weekly-plan,title,Elephant Weekly Planner Pad — Style 1,مخطط تصميم ١ من Elephant
elephant-weekly-plan,body_html,"<p>Elephant Weekly Planner Pad to plan the day, week or month at a glance.</p><p>Helps students and busy people keep tasks visible and satisfying to tick off. From Elephant.</p>",<p>مخطط تصميم ١ من Elephant لتنظيم اليوم والأسبوع والشهر بنظرة واحدة.</p><p>يساعد الطلاب والمشغولين على إبقاء المهام مرئية — وشطبها ممتع.</p>
elephant-to-do-list,title,Elephant To-Do List Pad,مخطط من Elephant — To-Do List Pad
elephant-to-do-list,body_html,"<p>Elephant To-Do List Pad to plan the day, week or month at a glance.</p><p>Helps students and busy people keep tasks visible and satisfying to tick off. From Elephant.</p>",<p>مخطط من Elephant لتنظيم اليوم والأسبوع والشهر بنظرة واحدة.</p><p>يساعد الطلاب والمشغولين على إبقاء المهام مرئية — وشطبها ممتع.</p>
everyo-gel-pen-2,title,Deli Everyo Gel Pen — Style 2,قلم جل تصميم ٢ من Deli
everyo-gel-pen-2,body_html,"<p>Deli Everyo Gel Pen — smooth-flowing ink in a comfortable grip.</p><p>A favourite for note-taking, journaling and adding colour to study notes. From Deli.</p>",<p>قلم جل تصميم ٢ من Deli — حبر انسيابي وقبضة مريحة.</p><p>مفضل لتدوين الملاحظات وتلوين الملخصات الدراسية.</p>
everyo-gel-pen-3,title,Deli Everyo Gel Pen — Style 3,قلم جل تصميم ٣ من Deli
everyo-gel-pen-3,body_html,"<p>Deli Everyo Gel Pen — smooth-flowing ink in a comfortable grip.</p><p>A favourite for note-taking, journaling and adding colour to study notes. From Deli.</p>",<p>قلم جل تصميم ٣ من Deli — حبر انسيابي وقبضة مريحة.</p><p>مفضل لتدوين الملاحظات وتلوين الملخصات الدراسية.</p>
sticky-note,title,Sticky Notes Set,ملاحظات لاصقة — Notes Set
sticky-note,body_html,"<p>Sticky Notes Set for quick reminders, page markers and desk notes that peel off cleanly.</p><p>Handy for students and office desks alike — stick them on books, screens and planners.</p>",<p>ملاحظات لاصقة للملاحظات السريعة وتعليم الصفحات، تُنزع بسهولة دون أثر.</p><p>عملية للطلاب وعلى مكاتب العمل — على الكتب والشاشات والمخططات.</p>
elephant-weeky-plan,title,Elephant Weekly Planner Pad — Style 2,مخطط تصميم ٢ من Elephant
elephant-weeky-plan,body_html,"<p>Elephant Weekly Planner Pad to plan the day, week or month at a glance.</p><p>Helps students and busy people keep tasks visible and satisfying to tick off. From Elephant.</p>",<p>مخطط تصميم ٢ من Elephant لتنظيم اليوم والأسبوع والشهر بنظرة واحدة.</p><p>يساعد الطلاب والمشغولين على إبقاء المهام مرئية — وشطبها ممتع.</p>
elephant-monthly-plan,title,Elephant Monthly Planner Pad,مخطط من Elephant — Monthly Planner Pad
elephant-monthly-plan,body_html,"<p>Elephant Monthly Planner Pad to plan the day, week or month at a glance.</p><p>Helps students and busy people keep tasks visible and satisfying to tick off. From Elephant.</p>",<p>مخطط من Elephant لتنظيم اليوم والأسبوع والشهر بنظرة واحدة.</p><p>يساعد الطلاب والمشغولين على إبقاء المهام مرئية — وشطبها ممتع.</p>
campus-note-book,title,Kokuyo Campus Notebook — Style 2,دفتر Campus تصميم ٢ من Kokuyo
campus-note-book,body_html,"<p>Kokuyo Campus Notebook for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Kokuyo.</p>",<p>دفتر Campus تصميم ٢ من Kokuyo للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
bx-v5,title,Pilot V5 Hi-Tecpoint Rollerball Pen — Style 1,قلم تصميم ١ من Pilot
bx-v5,body_html,"<p>Pilot V5 Hi-Tecpoint Rollerball Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike. From Pilot.</p>",<p>قلم تصميم ١ من Pilot لكتابة يومية سلسة وموثوقة.</p><p>خيار يعتمد عليه في المدرسة والمكتب والتوقيعات.</p>
bx-v5-2,title,Pilot V5 Hi-Tecpoint Rollerball Pen — Style 2,قلم تصميم ٢ من Pilot
bx-v5-2,body_html,"<p>Pilot V5 Hi-Tecpoint Rollerball Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike. From Pilot.</p>",<p>قلم تصميم ٢ من Pilot لكتابة يومية سلسة وموثوقة.</p><p>خيار يعتمد عليه في المدرسة والمكتب والتوقيعات.</p>
bx-v5-3,title,Pilot V5 Hi-Tecpoint Rollerball Pen — Style 3,قلم تصميم ٣ من Pilot
bx-v5-3,body_html,"<p>Pilot V5 Hi-Tecpoint Rollerball Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike. From Pilot.</p>",<p>قلم تصميم ٣ من Pilot لكتابة يومية سلسة وموثوقة.</p><p>خيار يعتمد عليه في المدرسة والمكتب والتوقيعات.</p>
bx-v5-4,title,Pilot V5 Hi-Tecpoint Rollerball Pen — Style 4,قلم تصميم ٤ من Pilot
bx-v5-4,body_html,"<p>Pilot V5 Hi-Tecpoint Rollerball Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike. From Pilot.</p>",<p>قلم تصميم ٤ من Pilot لكتابة يومية سلسة وموثوقة.</p><p>خيار يعتمد عليه في المدرسة والمكتب والتوقيعات.</p>
big-ideas-start-small,title,Double A “Big Ideas Start Small” Sticky Notes,ملاحظات لاصقة من Double A
big-ideas-start-small,body_html,"<p>Double A “Big Ideas Start Small” Sticky Notes for quick reminders, page markers and desk notes that peel off cleanly.</p><p>Handy for students and office desks alike — stick them on books, screens and planners. From Double A.</p>",<p>ملاحظات لاصقة من Double A للملاحظات السريعة وتعليم الصفحات، تُنزع بسهولة دون أثر.</p><p>عملية للطلاب وعلى مكاتب العمل — على الكتب والشاشات والمخططات.</p>
elephant-2,title,Elephant Planner Pad,مخطط من Elephant — Planner Pad
elephant-2,body_html,"<p>Elephant Planner Pad to plan the day, week or month at a glance.</p><p>Helps students and busy people keep tasks visible and satisfying to tick off. From Elephant.</p>",<p>مخطط من Elephant لتنظيم اليوم والأسبوع والشهر بنظرة واحدة.</p><p>يساعد الطلاب والمشغولين على إبقاء المهام مرئية — وشطبها ممتع.</p>
uhu-stick,title,UHU Glue Stick,صمغ من UHU
uhu-stick,body_html,"<p>UHU Glue Stick that sticks paper and card cleanly.</p><p>A school-bag staple for projects, collages and quick fixes. From UHU.</p>",<p>صمغ من UHU يلصق الورق والكرتون بنظافة.</p><p>أساسي في حقيبة المدرسة للمشاريع والأشغال اليدوية.</p>
saxa-poche-2,title,Kokuyo Saxa Poche Compact Scissors — Style 2,مقص Saxa Poche تصميم ٢ من Kokuyo
saxa-poche-2,body_html,"<p>Kokuyo Saxa Poche Compact Scissors that cut cleanly and feel comfortable in hand.</p><p>Suits paper craft, school projects and everyday desk jobs. From Kokuyo.</p>",<p>مقص Saxa Poche تصميم ٢ من Kokuyo يقص بدقة وبقبضة مريحة.</p><p>يناسب أعمال الورق والمشاريع المدرسية ومهام المكتب اليومية.</p>
saxa-poche-3,title,Kokuyo Saxa Poche Compact Scissors — Style 3,مقص Saxa Poche تصميم ٣ من Kokuyo
saxa-poche-3,body_html,"<p>Kokuyo Saxa Poche Compact Scissors that cut cleanly and feel comfortable in hand.</p><p>Suits paper craft, school projects and everyday desk jobs. From Kokuyo.</p>",<p>مقص Saxa Poche تصميم ٣ من Kokuyo يقص بدقة وبقبضة مريحة.</p><p>يناسب أعمال الورق والمشاريع المدرسية ومهام المكتب اليومية.</p>
saxa-poche-4,title,Kokuyo Saxa Poche Compact Scissors — Style 4,مقص Saxa Poche تصميم ٤ من Kokuyo
saxa-poche-4,body_html,"<p>Kokuyo Saxa Poche Compact Scissors that cut cleanly and feel comfortable in hand.</p><p>Suits paper craft, school projects and everyday desk jobs. From Kokuyo.</p>",<p>مقص Saxa Poche تصميم ٤ من Kokuyo يقص بدقة وبقبضة مريحة.</p><p>يناسب أعمال الورق والمشاريع المدرسية ومهام المكتب اليومية.</p>
lego-pencil-box,title,LEGO Pencil Box,مقلمة LEGO
lego-pencil-box,body_html,"<p>LEGO Pencil Box to keep pens, pencils and small tools together.</p><p>Fits neatly in a school bag or on a desk — no more hunting for the sharpener. From LEGO.</p>",<p>مقلمة LEGO لتجميع الأقلام والأدوات الصغيرة في مكان واحد.</p><p>يدخل حقيبة المدرسة بسهولة — ولا مزيد من البحث عن البراية.</p>
lego-10pcs-marker,title,LEGO Markers — 10 Pieces,أقلام ماركر LEGO ١٠ قطعة
lego-10pcs-marker,body_html,"<p>LEGO Markers — 10 Pieces for bold lines and bright colouring.</p><p>Great for posters, projects and creative time with the kids. From LEGO.</p>",<p>أقلام ماركر LEGO ١٠ قطعة لخطوط جريئة وتلوين مشرق.</p><p>مناسب للملصقات والمشاريع وأوقات الإبداع مع الأطفال.</p>
catmo-sticky-note,title,Catmemo Cat Sticky Notes,ملاحظات لاصقة Catmemo
catmo-sticky-note,body_html,"<p>Catmemo Cat Sticky Notes for quick reminders, page markers and desk notes that peel off cleanly.</p><p>Handy for students and office desks alike — stick them on books, screens and planners. From Catmemo.</p>",<p>ملاحظات لاصقة Catmemo للملاحظات السريعة وتعليم الصفحات، تُنزع بسهولة دون أثر.</p><p>عملية للطلاب وعلى مكاتب العمل — على الكتب والشاشات والمخططات.</p>
